transaction_id,user_id,timestamp,reasons
201409,U265,2024-07-15T00:19:00,High value
201494,U787,2024-07-15T00:26:00,High value
201505,U325,2024-07-15T00:28:00,High value
201557,U118,2024-07-15T00:32:00,High value; New vendor
201583,U922,2024-07-15T00:33:00,High value
201647,U838,2024-07-15T00:40:00,High value
201656,U149,2024-07-15T00:41:00,High value
201721,U691,2024-07-15T00:45:00,High value
201733,U285,2024-07-15T00:47:00,New vendor
201756,U257,2024-07-15T00:49:00,High value
201768,U387,2024-07-15T00:50:00,New vendor
201786,U608,2024-07-15T00:51:00,High value
201800,U013,2024-07-15T00:53:00,New vendor
201818,U570,2024-07-15T00:54:00,High value
201830,U446,2024-07-15T00:55:00,New vendor
201838,U865,2024-07-15T00:55:00,High value
201855,U755,2024-07-15T00:57:00,New vendor
201871,U380,2024-07-15T00:59:00,New vendor
201877,U747,2024-07-15T00:59:00,New vendor
201883,U116,2024-07-15T01:00:00,High value
201904,U558,2024-07-15T01:01:00,High value
201926,U062,2024-07-15T01:04:00,High value
201939,U441,2024-07-15T01:05:00,High value
201967,U654,2024-07-15T01:07:00,High value
201982,U391,2024-07-15T01:09:00,High value
202007,U793,2024-07-15T01:10:00,High value
202024,U436,2024-07-15T01:12:00,High value
202077,U491,2024-07-15T01:16:00,New vendor
202078,U505,2024-07-15T01:16:00,New vendor
202099,U529,2024-07-15T01:19:00,High value
202118,U351,2024-07-15T01:21:00,High value
202136,U924,2024-07-15T01:22:00,New vendor
202179,U012,2024-07-15T01:27:00,New vendor
202192,U208,2024-07-15T01:28:00,New vendor
202219,U284,2024-07-15T01:31:00,New vendor
202228,U265,2024-07-15T01:32:00,New vendor
202230,U375,2024-07-15T01:32:00,New vendor
202237,U053,2024-07-15T01:33:00,High value
202316,U028,2024-07-15T01:41:00,High value
202326,U945,2024-07-15T01:41:00,New vendor
202355,U612,2024-07-15T01:44:00,High value; New vendor
202372,U764,2024-07-15T01:46:00,High value; New vendor
202391,U415,2024-07-15T01:48:00,New vendor
202392,U484,2024-07-15T01:48:00,High value
202427,U243,2024-07-15T01:52:00,New vendor
202428,U289,2024-07-15T01:52:00,New vendor
202437,U093,2024-07-15T01:53:00,High value
202443,U327,2024-07-15T01:53:00,New vendor
202468,U577,2024-07-15T01:55:00,High value
202481,U893,2024-07-15T01:56:00,New vendor
202499,U643,2024-07-15T01:58:00,New vendor
202508,U500,2024-07-15T01:59:00,High value; New vendor
202521,U821,2024-07-15T02:00:00,New vendor
202524,U169,2024-07-15T02:01:00,New vendor
202527,U318,2024-07-15T02:01:00,High value
202545,U058,2024-07-15T02:03:00,New vendor
202546,U130,2024-07-15T02:03:00,New vendor
202554,U431,2024-07-15T02:04:00,New vendor
202570,U911,2024-07-15T02:05:00,New vendor
202573,U149,2024-07-15T02:06:00,High value; New vendor
202589,U792,2024-07-15T02:07:00,High value; New vendor
202599,U578,2024-07-15T02:08:00,New vendor
202631,U830,2024-07-15T02:11:00,New vendor
202638,U354,2024-07-15T02:12:00,New vendor
202646,U135,2024-07-15T02:13:00,New vendor
202647,U177,2024-07-15T02:13:00,New vendor
202652,U618,2024-07-15T02:13:00,New vendor
202653,U699,2024-07-15T02:13:00,New vendor
202659,U208,2024-07-15T02:14:00,New vendor
202673,U361,2024-07-15T02:15:00,New vendor
202692,U873,2024-07-15T02:16:00,High value
202693,U029,2024-07-15T02:17:00,High value
202703,U864,2024-07-15T02:17:00,New vendor
202707,U442,2024-07-15T02:18:00,New vendor
202721,U618,2024-07-15T02:20:00,High value; New vendor
202737,U475,2024-07-15T02:22:00,New vendor
202748,U241,2024-07-15T02:23:00,New vendor
202776,U261,2024-07-15T02:26:00,New vendor
202825,U961,2024-07-15T02:30:00,High value
202833,U518,2024-07-15T02:31:00,High value
202837,U783,2024-07-15T02:31:00,New vendor
202875,U863,2024-07-15T02:34:00,New vendor
202922,U787,2024-07-15T02:38:00,New vendor
202945,U988,2024-07-15T02:40:00,New vendor
202953,U859,2024-07-15T02:41:00,High value
202963,U865,2024-07-15T02:42:00,High value
202970,U300,2024-07-15T02:43:00,High value
202971,U423,2024-07-15T02:43:00,High value; New vendor
202974,U766,2024-07-15T02:43:00,New vendor
202984,U508,2024-07-15T02:44:00,New vendor
202999,U586,2024-07-15T02:45:00,New vendor
203002,U998,2024-07-15T02:45:00,High value
203084,U816,2024-07-15T02:53:00,High value; New vendor
203097,U441,2024-07-15T02:55:00,High value
